country,age_group,age_code,value
Estonia,From 35 to 44 years,Y35T44,124.4577560424805
Germany,From 35 to 44 years,Y35T44,157.9248352050781
Hungary,From 35 to 44 years,Y35T44,153.7476654052734
Korea,From 35 to 44 years,Y35T44,134.5238800048828
Latvia,From 35 to 44 years,Y35T44,123.5578155517578
Luxembourg,From 35 to 44 years,Y35T44,140.7403106689453
Mexico,From 35 to 44 years,Y35T44,149.6989898681641
Netherlands,From 35 to 44 years,Y35T44,135.6137237548828
New Zealand,From 35 to 44 years,Y35T44,134.4619903564453
Norway,From 35 to 44 years,Y35T44,117.7724380493164
Slovak Republic,From 35 to 44 years,Y35T44,123.5725402832031
Slovenia,From 35 to 44 years,Y35T44,134.6094207763672
Spain,From 35 to 44 years,Y35T44,147.7231140136719
Sweden,From 35 to 44 years,Y35T44,111.1362991333008
United Kingdom,From 35 to 44 years,Y35T44,144.3268127441406
United States,From 35 to 44 years,Y35T44,169.6964263916016
OECD,From 35 to 44 years,Y35T44,142.4198183806046
Argentina,From 35 to 44 years,Y35T44,172.7079010009766
Australia,From 25 to 64 years,Y25T64,130.6846008300781
Austria,From 25 to 64 years,Y25T64,96.0114975
Chile,From 25 to 64 years,Y25T64,234.0602874755859
Costa Rica,From 25 to 64 years,Y25T64,213.1249847412109
Czechia,From 25 to 64 years,Y25T64,130.9048004150391
Denmark,From 25 to 64 years,Y25T64,108.9284668
Estonia,From 25 to 64 years,Y25T64,136.8482208251953
Germany,From 25 to 64 years,Y25T64,148.2615966796875
Hungary,From 25 to 64 years,Y25T64,153.2122039794922
Korea,From 25 to 64 years,Y25T64,136.9735107421875
Latvia,From 25 to 64 years,Y25T64,142.3663635253906
Luxembourg,From 25 to 64 years,Y25T64,146.8433074951172
Mexico,From 25 to 64 years,Y25T64,151.0250396728516
Netherlands,From 25 to 64 years,Y25T64,133.3205871582031
New Zealand,From 25 to 64 years,Y25T64,134.2479553222656
Norway,From 25 to 64 years,Y25T64,120.1047210693359
Slovak Republic,From 25 to 64 years,Y25T64,123.4465866088867
Slovenia,From 25 to 64 years,Y25T64,135.9077453613281
Spain,From 25 to 64 years,Y25T64,147.3952026367188
Sweden,From 25 to 64 years,Y25T64,113.3712615966797
United Kingdom,From 25 to 64 years,Y25T64,143.5638885498047
United States,From 25 to 64 years,Y25T64,169.0169372558594
OECD,From 25 to 64 years,Y25T64,142.8581061985182
Argentina,From 25 to 64 years,Y25T64,175.9349365234375
